geoh2_well_subsurface.initial_wellhead_flow,geoh2_well_subsurface.site_prospectivity
500,0.05
1000,0.05
2000,0.05
4000,0.05
8000,0.05
16000,0.05
32000,0.05
64000,0.05
500,0.1
1000,0.1
2000,0.1
4000,0.1
8000,0.1
16000,0.1
32000,0.1
64000,0.1
500,0.2
1000,0.2
2000,0.2
4000,0.2
8000,0.2
16000,0.2
32000,0.2
64000,0.2
500,0.3
1000,0.3
2000,0.3
4000,0.3
8000,0.3
16000,0.3
32000,0.3
64000,0.3
500,0.4
1000,0.4
2000,0.4
4000,0.4
8000,0.4
16000,0.4
32000,0.4
64000,0.4
500,0.5
1000,0.5
2000,0.5
4000,0.5
8000,0.5
16000,0.5
32000,0.5
64000,0.5
500,0.6
1000,0.6
2000,0.6
4000,0.6
8000,0.6
16000,0.6
32000,0.6
64000,0.6
500,0.7
1000,0.7
2000,0.7
4000,0.7
8000,0.7
16000,0.7
32000,0.7
64000,0.7
500,0.8
1000,0.8
2000,0.8
4000,0.8
8000,0.8
16000,0.8
32000,0.8
64000,0.8
500,0.9
1000,0.9
2000,0.9
4000,0.9
8000,0.9
16000,0.9
32000,0.9
64000,0.9
500,0.95
1000,0.95
2000,0.95
4000,0.95
8000,0.95
16000,0.95
32000,0.95
64000,0.95
