Name,Type,Coeff,Unit
alpha_1_numerator,capital,51010,-
alpha_1_denominator,capital,-3.82E-03,-
alpha_1_temp_offset,capital,631,-
alpha_2_numerator,capital,5634000,-
alpha_2_denominator,capital,-7.81E-03,-
alpha_2_temp_offset,capital,349,-
alpha_3,capital,750000,-
exp_1,capital,0.8,
exp_2,capital,0.9,
exp_3,capital,0.15,
exp_4,capital,0.5,
