Metal,Capacity [kt/y],Capex [Year USD],Capex/ Capacity [year USD/ (kt/y)],Year,Year CEI,2018 CEI,Capex [2018 USD],Capex/ Capacity [2018 USD/ (kt/y)],Cell Count,Temperature [C],Current Density [A/m^2],Current efficiency,Operating potential [V],Specific energy [kWh/kg],Electrode area/ cell [m^2],Current / cell [kA],Power / cell [MW],Electrons per product,Product molar mass [kg],Yearly productivity / cell [kt/y],Notes
Fe AHE,0.181074198,"$1,077 ","$1,077 ",2018,607,607,"$1,077 ","$1,077 ",1,80,1000,0.9,3.2,4.644283995,30,30,0.096,3,0.055845,0.181074198,Humbert Cost Kempler Operating Conditions
Fe MSE,7.41,"$10,947 ","$10,947 ",2018,607,607,"$10,947 ","$10,947 ",1,900,6000,0.9,1.79,0.635,30,300,0.537,3,0.055845,7.41,Humbert
Fe MOE,0.587,"$4,902 ","$4,902 ",2018,607,607,"$4,902 ","$4,902 ",1,1600,10000,0.9,0.82,3.67,30,300,0.246,2,0.055845,0.587,Humbert
Al,415,"$2,937,550,460 ","$7,070 ",2008,576,607,"$3,095,647,794 ","$7,451 ",517,1000,10000,0.95,4.18,16.5,30,300,1.254,3,0.027,0.80270793,1 line Rectifier
Al,415,"$2,920,930,656 ","$7,030 ",2008,576,607,"$3,078,133,521 ","$7,408 ",517,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,1 line Rectifier
Al,588,"$3,691,655,708 ","$6,275 ",2008,576,607,"$3,890,338,568 ","$6,613 ",732,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,1 line Rectifier
Al,588,"$3,753,428,433 ","$6,380 ",2008,576,607,"$3,955,435,866 ","$6,723 ",732,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,1 line Rectifier
Al,735,"$4,894,017,677 ","$6,655 ",2008,576,607,"$5,157,410,990 ","$7,013 ",915,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,1 line Rectifier
Al,735,"$4,360,860,229 ","$5,930 ",2008,576,607,"$4,595,559,304 ","$6,249 ",915,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,2 line Rectifier
Al,882,"$4,994,766,050 ","$5,660 ",2008,576,607,"$5,263,581,584 ","$5,965 ",1098,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,2 line Rectifier
Al,882,"$5,599,256,288 ","$6,345 ",2008,576,607,"$5,900,605,150 ","$6,686 ",1098,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,1 line Rectifier
Al,1177,"$6,712,636,117 ","$5,705 ",2008,576,607,"$7,073,906,463 ","$6,012 ",1465,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,2 line Rectifier
Al,1177,"$6,518,493,267 ","$5,540 ",2008,576,607,"$6,869,314,953 ","$5,838 ",1465,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,2 line Rectifier
Al,1691,"$8,676,861,694 ","$5,130 ",2008,576,607,"$9,143,845,570 ","$5,406 ",2105,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,2 line Rectifier
Al,500,"$3,250,000,000 ","$6,500 ",2001,394,607,"$5,006,979,695 ","$10,014 ",622,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,2 line Rectifier
Al,353,"$1,899,846,000 ","$5,382 ",2008,576,608,"$2,005,393,000 ","$5,681 ",439,1000,10000,0.95,4.18,,30,300,1.25,3,0.027,0.85,1 line Rectifier
Mg,50,"$400,000,000 ","$8,000 ",2001,394,607,"$616,243,655 ","$12,325 ",41,750,6000,0.9,6,,60,360,2.16,2,0.024,1.23,IG Cell
Mg,109,"$359,700,000 ","$3,300 ",1979,239,607,"$913,547,699 ","$8,381 ",88,750,6000,0.9,6,,60,360,2.16,2,0.024,1.23,IG Cell
Mg,22,"$72,600,000 ","$3,300 ",1979,239,607,"$184,385,774 ","$8,381 ",18,750,6000,0.9,6,,60,360,2.16,2,0.024,1.23,IG Cell
