Metal,Capacity [kt/y],Capex [Year USD],Capex/ Capacity [year USD/ (t/y)],Year,Year CEI,2018 CEI,Capex [2018 USD],Capex/ Capacity [2018 USD/ (t/y)],Cell Count,Temperature [C],Current Density [A/m^2],Current efficiency,Operating potential [V],Specific energy [kWh/kg],Electrode area/ cell [m^2],Current / cell [kA],Power / cell [MW],Electrons per product,Product molar mass [kg],Yearly productivity / cell [kt/y],Notes
Cu,22.7,32700000,1441,1980,261,607,76049425,3351,316,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,21.2,33500000,1579,1980,261,607,77909962,3672,296,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,27,100000000,3703,1998,390,607,155641026,5764,377,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,1.3,3000000,2253,1980,390,607,4669231,3507,19,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,14.6,25300000,1728,1980,390,607,39377179,2689,204,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,50,268500000,5370,2014,580,607,280999138,5620,697,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cu,60,298000000,4966,2007,530,607,341294340,5688,837,40,300,0.8,3.5,,30,9,0.03,2,0.06,0.07,SX-EW
Cl2,200,106000000,530,1980,261,607,246521073,1233,126,90,2700,0.96,3.79,,55,149,0.56,2,0.07,1.59,diaphragm
Cl2,200,111500000,558,1980,261,607,259312261,1297,126,90,2700,0.96,3.79,,55,149,0.56,2,0.07,1.59,membrane
Cl2,200,112800000,564,1980,261,607,262335632,1312,126,90,2700,0.96,3.79,,55,149,0.56,2,0.07,1.59,membrane + inert anodes
Cl2,166,111000000,669,1990,358,607,188203911,1134,105,90,2700,0.96,3.79,,55,149,0.56,2,0.07,1.59,
Cl2,880,194868534,221,1980,261,607,453200000,515,554,90,2700,0.96,3.79,,55,149,0.56,2,0.07,1.59,
