Item,Units,Case 1,Case 2,Case 3,Case 4,Case 5
Mass Flow Wellhead,kg/hr,23607.54,13330.20,6053.04,70817.80,20000.87
H2 Conc Wellhead,-,0.25,0.50,0.75,0.25,0.50
H2 Flow Out,kg/hr,552.00,1104.00,1657.00,1657.00,1657.00
H2 Conc Out,-,0.96,0.98,0.99,0.96,0.98
Capex,2022 USD,13750518.80,11660779.70,10167816.80,30385311.00,14800205.60
Electricity,kW,5376.15,5041.57,4107.17,15963.01,6958.79
Cooling Water,kt/h,0.39,0.34,0.31,1.11,0.49
Steam,kLb/h,0.61,0.61,0.60,0.62,0.61
Labor,Op/shift,5.00,5.00,5.00,15.00,7.50
,,,,,,
,,,,,,
,,,,,,
